,,gas_price_gwei,gas_price_gwei,gas_price_gwei,gas_price_gwei,gas_price_gwei,gas_price_gwei,gas_used,gas_used,gas_used,gas_used,gas_used,gas_used,gasPrice_eth,gasPrice_eth,gasPrice_eth,gasPrice_eth,gasPrice_eth,gasPrice_eth,tcost_usd,tcost_usd,tcost_usd,tcost_usd,tcost_usd,tcost_usd
,,count,max,std,skew,mean,min,count,max,std,skew,mean,min,count,max,std,skew,mean,min,count,max,std,skew,mean,min
block_number,timestamp,,,,,,,,,,,,,,,,,,,,,,,,
18937510,2024-01-05 00:25:59,1701,67.818902831,4.589011793761693,8.510617447577516,16.258351116640213,14.206585379,1701,1805685,166332.2756655572,7.506002995499024,81426.33862433862,21000,1701,6.781890283100001e-08,4.589011793761685e-09,0.0,1.6258351116640214e-08,1.4206585379000001e-08,1701,0.026648607498348888,0.0025637409815387592,6.7343033883413455,0.0013009202062307789,0.00030043829295900003
18937511,2024-01-05 00:26:11,1485,26.656,2.3551662100780666,1.5962503882497099,16.075560483248484,14.262706821,1485,1866012,184616.7789003188,7.175547926441828,90325.78181818181,21000,1485,2.6656e-08,2.355166210078064e-09,0.0,1.6075560483248486e-08,1.4262706821e-08,1485,0.026614382080467854,0.0026690612248036114,7.093158664937585,0.0013733869769250225,0.000299516843241
18937512,2024-01-05 00:26:23,1575,58.913904601,5.158091792531546,5.984439656346389,16.61236244154857,14.241275438,1575,2700217,215136.2252821939,10.218072565071784,100549.62285714285,21000,1575,5.8913904601e-08,5.158091792531543e-09,0.0,1.6612362441548574e-08,1.4241275438e-08,1575,0.03872455573937005,0.003158593262660708,9.460908640595003,0.0016197249728419035,0.000299276784198
18937513,2024-01-05 00:26:35,1368,496.584295107,41.57377109442476,10.133966036991948,21.92350063869737,14.549383533,1368,1371379,122893.33132052777,7.71071332610893,84369.25657894737,21000,1368,4.96584295107e-07,4.157377109442476e-08,0.0,2.192350063869737e-08,1.4549383533000002e-08,1368,0.04545931271127521,0.004333961931620402,7.678255564727173,0.0018508687493161962,0.000305537054193
18937514,2024-01-05 00:26:47,1341,114.28557011,10.434019200116312,7.7014329364269765,16.91920639372483,14.28557011,1341,2703454,272889.9554931357,7.159876085080091,107872.77852348993,21000,1341,1.1428557011e-07,1.0434019200116304e-08,0.0,1.6919206393724833e-08,1.4285570110000001e-08,1341,0.038890727056159945,0.0044587980091035165,5.979864607535516,0.0018404692716272025,0.00029999697231000006
18937515,2024-01-05 00:26:59,1593,89.413312154,7.66460903908707,7.424630758639721,16.92081145377966,14.413312154,1593,475473,77836.9840376651,2.5102444641631974,70226.05649717514,21000,1593,8.9413312154e-08,7.664609039087065e-09,0.0,1.6920811453779663e-08,1.4413312154000001e-08,1593,0.010880321425544346,0.001486520683080956,3.093082093589225,0.0011984612652072622,0.000302847555234
18937516,2024-01-05 00:27:11,1314,30.0,2.467423762375091,2.4667820564191887,15.663205261664382,14.114628494,1314,1181836,116613.6834300645,6.5318653554072,72498.30821917808,21000,1314,3.0000000000000004e-08,2.4674237623750915e-09,0.0,1.5663205261664384e-08,1.4114628494e-08,1314,0.016730500793397763,0.0016574655483502425,6.381597397630592,0.0010918035637267791,0.000296407198374
18937517,2024-01-05 00:27:23,2205,108.585666672,7.043914312951448,9.830838534203108,15.854401531383674,13.585666672,2205,1229797,116857.32963827757,5.266533084731446,82958.9387755102,21000,2205,1.08585666672e-07,7.043914312951462e-09,0.0,1.5854401531383674e-08,1.3585666672e-08,2205,0.019042451192935298,0.0020080126383773466,5.380430139906035,0.0013155485499223433,0.000285299000112
18937518,2024-01-05 00:27:35,1638,8307.188523837,617.3186302423115,13.10540382729026,68.59339982179671,14.188523837,1638,1838450,346690.1031462541,4.469948533082034,141373.67032967033,21000,1638,8.307188523837e-06,6.173186302423117e-07,0.0,6.859339982179671e-08,1.4188523837000001e-08,1638,0.174450959000577,0.014956829106145573,9.08968422873171,0.003755470625561417,0.000297959000577
18937519,2024-01-05 00:27:47,1593,31.672337523,2.4570791861487913,3.536279348218518,16.88162523042373,15.457215289,1593,2708188,258094.063761822,6.840015408573701,127019.75141242938,21000,1593,3.1672337523e-08,2.4570791861487896e-09,0.0,1.688162523042373e-08,1.5457215289e-08,1593,0.04213186375908634,0.0040466722840238134,6.629842305198579,0.0020886913240487238,0.000324811521069
